District,Latitude,Longitude,Female,Male,Total Population,0-14,15-24,45-64,25-44,65+,Median age,Area (km2),radius
Central and Western,22.275246,114.148293,133900,107700,241600,23918,25368,76104,77554,38656,43,12.44,1.99042293
Wan Chai,22.273854,114.181767,101100,78300,179400,17761,15608,57408,59561,29242,44,9.83,1.769342603
Eastern,22.27328,114.233118,301600,244800,546400,63382,51908,167198,173755,90156,43,18.56,2.431219452
Southern,22.219484,114.225056,145400,118500,263900,30612,25598,82073,84184,41432,43,38.85,3.517472312
Yau Tsim Mong,22.307453,114.165202,179800,153800,333600,37363,36362,102749,108086,49373,42,6.99,1.492016974
Sham Shui Po,22.331079,114.159339,215600,185000,400600,49274,40461,122984,125788,61692,42,9.35,1.725603375
Kowloon City,22.321502,114.188696,225800,186100,411900,47780,41602,127277,132220,62609,43,10.02,1.786360211
Wong Tai Sin,22.344322,114.202174,224800,195800,420600,44584,45004,119871,137116,74026,45,9.3,1.720983277
Kwun Tong,22.308864,114.227766,355300,308800,664100,79028,67738,195245,208527,113561,43,11.27,1.894511012
Kwai Tsing,22.341333,114.104364,270400,237200,507600,58882,53806,152280,159894,82739,43,23.34,2.726375069
Tsuen Wan,22.365138,114.077672,169000,144600,313600,36064,32301,97216,102234,46099,43,61.71,4.433155337
Tuen Mun,22.378697,113.950708,256200,224300,480500,54777,50933,142709,160007,71595,43,82.89,5.137907081
Yuen Long,22.457296,114.021319,334800,290200,625000,75625,68750,196875,188750,94375,41,138.46,6.64044738
North,22.517061,114.213398,165900,146900,312800,39413,32531,94778,98219,47858,42,136.61,6.595935826
Tai Po,22.480264,114.303993,164200,139400,303600,35218,30360,92902,100492,44326,43,136.15,6.58482138
Sha Tin,22.391435,114.207987,367800,309800,677600,78602,71148,196504,220898,110449,44,68.71,4.677837706
Sai Kung,22.30859,114.371505,252600,211200,463800,52873,47771,143778,147488,71889,42,129.65,6.425714662
Islands,22.228167,113.987878,88600,71700,160300,18114,17312,53220,47449,24045,41,175.12,7.46797835
